Book_ID,Authors,Publication_Year,Title,title,language_code,average_rating,Ratings_Count,Total_Ratings,Text_Reviews,One_Star_Ratings,Two_Star_Ratings,Three_Star_Ratings,Four_Star_Ratings,Five_Star_Ratings
27,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491
37,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629
41,Rick Riordan,2005.0,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006,18303,48294,219638,435514,689365
47,Markus Zusak,2005.0,The Book Thief,The Book Thief,eng,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056
49,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630,1199000,44020,102837,160660,294207,290612,350684
51,Cassandra Clare,2007.0,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,51589,34122,65349,203466,356048,582814
52,Stephenie Meyer,2007.0,Eclipse,"Eclipse (Twilight, #3)",en-US,3.69,1134511,1176642,35216,83094,124293,260763,309358,399134
53,Christopher Paolini,2002.0,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,1125231,18280,50563,88536,240157,337943,408032
62,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030
68,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,888806,954905,47116,14286,38658,143440,297501,461020
69,Veronica Roth,2012.0,Insurgent,"Insurgent (Divergent, #2)",eng,4.07,836362,947338,55873,10641,44620,182131,339977,369969
70,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054,15330,27612,103439,264207,462829
73,Stephenie Meyer,2008.0,The Host,"The Host (The Host, #1)",en-US,3.84,749780,777560,39778,44215,62501,154906,227180,288758
74,John Green,2005.0,Looking for Alaska,Looking for Alaska,eng,4.09,783470,831285,47128,16940,44232,147324,262932,359857
77,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257
88,John Green,2008.0,Paper Towns,Paper Towns,en-US,3.88,461311,655271,42717,14105,47183,154479,223895,215609
90,S.E. Hinton,1967.0,The Outsiders,The Outsiders,en-US,4.06,659248,680437,22662,10178,34346,134244,227250,274419
91,James Dashner,2009.0,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,777956,48942,15291,43370,150488,266698,302109
105,Veronica Roth,2013.0,Allegiant,"Allegiant (Divergent, #3)",eng,3.63,463257,663226,62536,31626,78366,176061,192785,184388
117,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413,17313,34988,119115,209745,268933
120,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,14996,42396,152024,177404,149784
133,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,8864,19531,80256,158725,265976
134,Cassandra Clare,2009.0,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,630560,22736,6646,17351,79202,179290,348071
139,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,672222,53569,14920,45434,159227,234792,217849
147,Jay Asher,2007.0,Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783,571281,43467,15246,35668,105414,179197,235756
149,Gayle Forman,2009.0,If I Stay,"If I Stay (If I Stay, #1)",en-US,3.96,503527,567087,34959,12666,34896,122977,190793,205755
151,Rick Riordan,2006.0,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,2967,13884,91127,188988,253546
153,Cassandra Clare,2008.0,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,23643,6135,20075,92626,192934,274238
159,Rick Riordan,2008.0,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,14098,2435,8093,62108,172289,292783
164,Rainbow Rowell,2013.0,Eleanor & Park,Eleanor & Park,eng,4.11,514312,579753,53005,12904,26371,94470,196224,249784
166,Ally Condie,2010.0,Matched,"Matched (Matched, #1)",eng,3.68,511815,530680,30226,24343,53804,138030,165412,149091
175,Rick Riordan,2009.0,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,499510,17693,2098,6501,45208,133168,312535
182,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,458518,20808,19917,43525,113352,132492,149232
183,Cassandra Clare,2010.0,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,515759,24385,8364,15544,61409,140928,289514
187,Scott Westerfeld,2005.0,Uglies,"Uglies (Uglies, #1)",eng,3.86,449073,464589,21234,15531,34808,106086,151540,156624
202,Becca Fitzpatrick,2009.0,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US,4.0,448166,461802,21871,19338,33543,82544,120204,206173
206,Kiera Cass,2012.0,The Selection,"The Selection (The Selection, #1)",en-US,4.15,505340,539091,35681,13841,25349,83692,158716,257493
214,Rick Riordan,2007.0,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,4.33,446668,486262,15418,1863,7934,65220,162371,248874
219,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385,401676,8871,3772,12192,59975,133056,192681
220,Mark Cotta Vaz,2008.0,Twilight: The Complete Illustrated Movie Companion,Twilight: The Complete Illustrated Movie Companion,en-US,4.23,291411,291899,532,6862,11019,48008,67939,158071
223,Eoin Colfer,2001.0,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng,3.82,386923,399165,8384,14473,30894,94950,129607,129241
224,Lauren Kate,2009.0,Fallen,"Fallen (Fallen, #1)",en-US,3.74,395296,408108,17725,23594,41578,94145,107149,141642
234,Laurie Halse Anderson,1999.0,Speak,Speak,eng,4.0,360156,372404,18379,7770,21049,76503,125660,141422
241,Lois Lowry,1989.0,Number the Stars,Number the Stars,eng,4.11,333638,342365,10304,3797,12794,63919,123296,138559
245,Katherine Paterson,1977.0,Bridge to Terabithia,Bridge to Terabithia,eng,3.98,337644,353474,9270,8287,20081,74409,119504,131193
246,"P.C. Cast, Kristin Cast",2007.0,Marked,"Marked (House of Night, #1)",en-US,3.79,360044,371020,12870,21547,34170,81486,97982,135835
250,R.J. Palacio,2012.0,Wonder,Wonder,eng,4.43,228538,377791,43021,4504,7833,34567,105977,224910
252,Marissa Meyer,2012.0,Cinder,"Cinder (The Lunar Chronicles, #1)",eng,4.15,427663,454146,41109,12154,18256,66180,150914,206642
259,James Dashner,2010.0,The Scorch Trials,"The Scorch Trials (Maze Runner, #2)",eng,3.93,305643,346307,23058,5525,21370,79458,124458,115496
263,Gail Carson Levine,1997.0,Ella Enchanted,Ella Enchanted,eng,3.97,339117,345749,8534,6619,20066,80272,110568,128224
275,John Green,2006.0,An Abundance of Katherines,An Abundance of Katherines,eng,3.63,312754,347424,20657,14225,36867,98115,111740,86477
280,Lauren Oliver,2011.0,Delirium,"Delirium (Delirium, #1)",eng,3.99,256975,352398,24271,8868,21223,68789,117580,135938
282,Neil Gaiman,2002.0,Coraline,Coraline,eng,4.03,316379,343630,13905,7078,15010,67188,126167,128187
292,"C.S. Lewis, Pauline Baynes",1951.0,The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng,4.08,306492,325264,4620,2658,12490,69089,112121,128906
294,Rick Riordan,2011.0,The Son of Neptune ,"The Son of Neptune (The Heroes of Olympus, #2)",eng,4.44,299980,316800,12270,1773,4666,30788,93611,185962
300,John Boyne,2006.0,The Boy in the Striped Pyjamas,The Boy in the Striped Pajamas,eng,4.1,285692,325401,19058,5297,13562,54987,121193,130362
309,Cassandra Clare,2011.0,City of Fallen Angels,"City of Fallen Angels (The Mortal Instruments, #4)",en-US,4.16,341826,373167,18870,4306,16000,64499,120426,167936
312,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,The Graveyard Book,en-US,4.12,302303,325451,23840,5515,12566,53668,120830,132872
314,"Cornelia Funke, Anthea Bell",2003.0,Tintenherz,"Inkheart (Inkworld, #1)",en-US,3.86,285011,301414,10384,8524,22966,71494,98625,99805
319,Cassandra Clare,2012.0,City of Lost Souls,"City of Lost Souls (The Mortal Instruments, #5)",eng,4.3,300553,327869,16639,3341,10329,43333,97947,172919
321,Wilson Rawls,1961.0,Where the Red Fern Grows,Where the Red Fern Grows,,4.04,268548,280179,8725,6585,15232,53560,89699,115103
324,Rainbow Rowell,2013.0,Unknown,Fangirl,eng,4.12,340379,371730,39353,8626,16973,60097,121431,164603
327,Marie Lu,2011.0,Legend,"Legend (Legend, #1)",eng,4.19,299998,318472,23487,5069,11608,48677,106122,146996
332,C.S. Lewis,1953.0,The magician's nephew,"The Magician's Nephew (Chronicles of Narnia, #6)",eng,4.01,268355,303570,8690,3168,14602,69051,105375,111374
340,Pittacus Lore,2010.0,I Am Number Four,"I Am Number Four (Lorien Legacies, #1)",en-US,3.94,253437,270195,14101,6538,17766,58268,90409,97214
347,C.S. Lewis,1951.0,Prince Caspian: The Return to Narnia,"Prince Caspian (Chronicles of Narnia, #2)",eng,3.96,250221,273069,4737,2399,12145,68026,101461,89038
348,E. Lockhart,2014.0,We Were Liars,We Were Liars,eng,3.85,273442,298780,36910,9074,22616,68468,102385,96237
351,Cassandra Clare,2011.0,Clockwork Prince,"Clockwork Prince (The Infernal Devices, #2)",eng,4.46,307994,328019,17854,3420,6235,29508,85633,203223
355,Kristin Cashore,2008.0,Graceling,"Graceling (Graceling Realm, #1)",en-CA,4.1,281185,296630,19081,6773,13946,48894,99939,127078
363,Stephanie Perkins,2010.0,Anna and the French Kiss,"Anna and the French Kiss (Anna and the French Kiss, #1)",en-US,4.08,259479,285344,26153,10602,14781,46011,84323,129627
368,Philip Pullman,1997.0,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng,4.1,242503,270785,6139,3905,11486,47802,96998,110594
369,Jerry Spinelli,2000.0,Stargirl,"Stargirl (Stargirl, #1)",eng,3.74,237560,245315,11717,9710,22399,62918,76059,74229
370,Rick Riordan,2010.0,The Red Pyramid,"The Red Pyramid (Kane Chronicles, #1)",eng,4.06,232791,242889,10914,4565,12571,46486,78216,101051
376,James Dashner,2011.0,The Death Cure,"The Death Cure (Maze Runner, #3)",eng,3.77,223674,257184,19975,6731,23270,68067,84128,74988
382,"John Green, David Levithan",2010.0,"Will Grayson, Will Grayson","Will Grayson, Will Grayson",eng,3.84,236431,254305,15782,8039,18868,60009,87132,80257
384,Richelle Mead,2008.0,Frostbite,"Frostbite (Vampire Academy, #2)",eng,4.3,256745,270065,10056,2851,7224,36392,84199,139399
386,Scott O'Dell,1960.0,Island of the Blue Dolphins,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",en-CA,3.8,236015,245968,6699,8175,19308,61975,80520,75990
388,Gary Paulsen,1986.0,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,222553,231963,10378,12070,22390,59179,73180,65144
393,Sarah J. Maas,2012.0,Throne of Glass,"Throne of Glass (Throne of Glass, #1)",eng,4.24,274987,327865,29145,8471,12115,41710,96202,169367
394,Richelle Mead,2008.0,Shadow Kiss,"Shadow Kiss (Vampire Academy, #3)",en-US,4.37,266742,278963,10074,2876,6532,32789,78293,158473
399,J.K. Rowling,2007.0,The Tales of Beedle the Bard,The Tales of Beedle the Bard,en-US,4.06,284833,319107,11330,3019,15025,69367,103350,128346
415,Alyson Noel,2009.0,Evermore,"Evermore (The Immortals, #1)",en-US,3.59,230031,235704,9228,16941,29301,59174,59075,71213
418,Richelle Mead,2010.0,Spirit Bound,"Spirit Bound (Vampire Academy, #5)",eng,4.37,224247,235076,8030,2755,5907,26981,66097,133336
419,Richelle Mead,2009.0,Blood Promise,"Blood Promise (Vampire Academy, #4)",en-US,4.35,231853,244376,8782,2186,6182,30711,70250,135047
422,J.K. Rowling,1998.0,Complete Harry Potter Boxed Set,"Harry Potter Boxset (Harry Potter, #1-7)",eng,4.74,190050,204125,6508,1105,1285,7020,30666,164049
423,Kiera Cass,2013.0,The Elite,"The Elite (The Selection, #2)",eng,4.02,234247,269816,21810,4780,15546,53644,91201,104645
425,"Beatrice Sparks, Anonymous",1971.0,Go Ask Alice,Go Ask Alice,eng,3.77,196677,205554,9202,7940,18269,51957,63188,64200
428,Rick Riordan,2012.0,The Mark of Athena,"The Mark of Athena (The Heroes of Olympus, #3)",eng,4.47,277491,293586,13332,2771,4480,26318,77876,182141
434,Becca Fitzpatrick,2010.0,Crescendo,"Crescendo (Hush, Hush, #2)",en-US,4.07,226237,234040,10041,5296,13835,43129,68217,103563
435,Lauren Oliver,2010.0,Before I Fall,Before I Fall,eng,3.92,220160,232559,17705,6283,15320,50933,79050,80973
443,Sarah Dessen,2006.0,Just Listen,Just Listen,en-US,4.06,202180,207930,7319,3665,10143,40684,68323,85115
447,Christopher Paolini,2008.0,Brisingr,"Brisingr (The Inheritance Cycle, #3)",eng,4.03,211645,226941,7993,4273,13094,44147,75689,89738
449,"P.C. Cast, Kristin Cast",2007.0,Betrayed: a House of Night Novel,"Betrayed (House of Night, #2)",en-US,3.93,205340,213261,4993,6222,15443,47467,62243,81886
452,Rick Yancey,2013.0,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng,4.1,260048,287540,26756,6176,13097,47631,98816,121820
460,Cassandra Clare,2013.0,Clockwork Princess,"Clockwork Princess (The Infernal Devices, #3)",eng,4.59,162099,247984,23261,1935,3804,16964,49313,175968
475,Gayle Forman,2011.0,Where She Went,"Where She Went (If I Stay, #2)",en-US,4.06,193141,218362,18556,2856,10629,43007,76839,85031
480,Philip Pullman,2000.0,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng,4.06,192315,217610,6693,4739,11883,39131,70648,91209
486,Jeanne DuPrau,2003.0,The City of Ember,"The City of Ember (Book of Ember, #1)",eng,3.85,198809,204085,9322,3684,13227,53014,74561,59599
491,"P.C. Cast, Kristin Cast",2008.0,Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US,3.95,191743,198350,3356,5701,13859,43080,56984,78726
500,Meg Cabot,2000.0,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng,3.76,193140,200671,4289,5442,16659,57732,61651,59187
506,Kiera Cass,2014.0,The One,"The One (The Selection, #3)",eng,4.21,139544,237039,21608,3322,9750,35942,72422,115603
507,Suzanne Collins,2010.0,The Hunger Games Box Set,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",eng,4.49,129665,159760,6429,1015,2521,13438,42932,99854
517,Simone Elkeles,2008.0,Perfect Chemistry,"Perfect Chemistry (Perfect Chemistry, #1)",eng,4.07,198627,205008,9882,6422,11998,35815,57351,93422
519,Scott Westerfeld,2005.0,Pretties,"Pretties (Uglies, #2)",eng,3.85,193405,203755,9390,3808,13664,52192,72804,61287
525,Lauren Oliver,2012.0,Pandemonium,"Pandemonium (Delirium, #2)",eng,4.07,181656,191644,13876,3024,8570,35845,69351,74854
535,Laini Taylor,2011.0,Daughter of Smoke & Bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",eng,4.04,198283,228815,23582,7073,12325,38879,76179,94359
536,Victoria Aveyard,2015.0,Red Queen,"Red Queen (Red Queen, #1)",eng,4.08,83354,289740,30249,7454,14867,48254,95303,123862
541,Sarah Dessen,2004.0,The Truth About Forever,The Truth About Forever,en-US,4.13,179415,183697,7421,2686,7512,33156,59958,80385
542,C.S. Lewis,1954.0,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",eng,3.9,189671,209180,4913,2752,13751,54684,68114,69879
543,Richelle Mead,2010.0,Last Sacrifice ,"Last Sacrifice (Vampire Academy, #6)",eng,4.42,206792,217652,10312,2797,5330,21948,54440,133137
548,Sara Shepard,2006.0,Pretty Little Liars,"Pretty Little Liars (Pretty Little Liars, #1)",en-US,3.9,156328,165836,8160,5743,12397,37519,47724,62453
561,"Norton Juster, Jules Feiffer",1961.0,The Phantom Tollbooth,The Phantom Tollbooth,en-US,4.22,178432,185392,8011,2848,6922,27918,56237,91467
564,Ned Vizzini,2006.0,It's Kind of a Funny Story,It's Kind of a Funny Story,en-US,4.14,161001,165713,8461,2018,6246,28680,58548,70221
569,James Patterson,2005.0,The Angel Experiment,"The Angel Experiment (Maximum Ride, #1)",eng,4.08,172302,183035,8606,4747,9858,32564,54067,81799
577,Natalie Babbitt,1975.0,Tuck Everlasting,Tuck Everlasting,eng,3.85,174280,184056,7187,3823,12462,46988,64213,56570
583,Becca Fitzpatrick,2011.0,Silence ,"Silence (Hush, Hush, #3)",eng,4.16,190722,197338,7290,4217,9307,32161,55811,95842
586,Libba Bray,2003.0,A Great and Terrible Beauty,"A Great and Terrible Beauty (Gemma Doyle, #1)",eng,3.79,173613,182107,8902,6620,16645,44166,56502,58174
591,"Sherman Alexie, Ellen Forney",2007.0,The Absolutely True Diary of a Part-Time Indian,The Absolutely True Diary of a Part-Time Indian,eng,4.11,160607,171492,18988,3502,7316,26704,62780,71190
593,Ursula K. Le Guin,1968.0,A Wizard of Earthsea,"A Wizard of Earthsea (Earthsea Cycle, #1)",en-US,3.99,155042,167058,5357,3253,9210,34737,58618,61240
595,John Knowles,1959.0,A Separate Peace,A Separate Peace,en-US,3.56,155901,162403,5580,8518,18503,45480,53424,36478
600,Lauren Kate,2010.0,Torment,"Torment (Fallen, #2)",eng,3.89,174393,181384,7245,5367,14327,41971,52983,66736
602,"C.S. Lewis, Pauline Baynes",1953.0,The Silver Chair,"The Silver Chair (Chronicles of Narnia, #4)",eng,3.95,170453,185348,3391,1580,9479,47180,65697,61412
607,Cassandra Clare,2014.0,City of Heavenly Fire,"City of Heavenly Fire (The Mortal Instruments, #6)",eng,4.48,177796,203325,19582,1683,4287,18763,49304,129288
615,Sarah Dessen,2002.0,This Lullaby,This Lullaby,eng,4.03,151829,155107,4597,2714,8175,32346,49750,62122
621,Judy Blume,1970.0,"Are You There God? It's Me, Margaret","Are You There God? It's Me, Margaret",eng,3.89,151789,162083,5168,3588,10014,40314,55092,53075
632,Tahereh Mafi,2011.0,"Shatter Me (Shatter Me, #1)","Shatter Me (Shatter Me, #1)",en-US,4.01,176433,200300,20959,7715,12475,34344,61578,84188
636,Mark Cotta Vaz,2011.0,Unknown,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",eng,4.3,188136,188274,134,2655,6588,29411,42475,107145
641,C.S. Lewis,1956.0,The Last Battle,"The Last Battle (Chronicles of Narnia, #7)",eng,4.02,158701,174641,4156,3501,10243,35440,54778,70679
643,"P.C. Cast, Kristin Cast",2008.0,Chosen: A House of Night Novel,"Chosen (House of Night, #3)",en-US,3.9,180961,188550,4013,5974,14466,42946,53682,71482
645,Alex Flinn,2007.0,"Beastly (Beastly, #1, Kendra Chronicles, #1)","Beastly (Beastly, #1; Kendra Chronicles, #1)",eng,3.84,150003,157088,8576,4103,12836,39399,48089,52661
648,Christopher Paolini,2011.0,Inheritance,"Inheritance (The Inheritance Cycle, #4)",en-US,4.08,146905,162717,8891,3498,9379,28585,50380,70875
655,Ally Condie,2011.0,Crossed,"Crossed (Matched, #2)",eng,3.52,100886,179584,14020,6581,22713,57856,55935,36499
656,Ally Carter,2006.0,"I'd Tell You I Love You, But Then I'd Have to Kill You","I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",en-US,3.82,150222,157885,6720,6407,13220,37418,45880,54960
667,Sarah Dessen,2009.0,Along for the Ride,Along for the Ride,eng,4.08,151721,156330,6238,2588,7073,30314,52171,64184
684,Rick Riordan,2013.0,The House of Hades,"The House of Hades (The Heroes of Olympus, #4)",eng,4.54,159774,175407,11843,698,1916,12999,45501,114293
685,Michael  Grant,2008.0,Gone,"Gone (Gone, #1)",eng,3.85,144606,153953,9445,6428,12529,32771,47507,54718
707,Sharon Creech,1994.0,Walk Two Moons,Walk Two Moons,eng,3.95,129350,132970,5530,3251,8401,29328,43060,48930
711,Neal Shusterman,2007.0,Unwind,"Unwind (Unwind, #1)",eng,4.18,143892,152643,15376,3032,5976,22062,50286,71287
717,Kate Egan,2012.0,Unknown,The Hunger Games: Official Illustrated Movie Companion,en-US,4.51,119915,120075,384,1968,2226,10191,24365,81325
732,Stephenie Meyer,2009.0,The Short Second Life of Bree Tanner,"The Short Second Life of Bree Tanner: An Eclipse Novella (Twilight, #3.5)",eng,3.51,145874,159769,9885,7314,21317,50829,43629,36680
740,"Laura Ingalls Wilder, Garth Williams",1953.0,The Little House Collection,"The Little House Collection (Little House, #1-9)",,4.33,124320,128880,2016,2304,3046,15651,36875,71004
747,Garth Nix,1995.0,Sabriel,"Sabriel (Abhorsen,  #1)",en-US,4.17,137047,146144,5652,2911,5797,22367,47814,67255
756,Julie Kagawa,2010.0,"The Iron King (The Iron Fey, #1) ","The Iron King (The Iron Fey, #1)",eng,3.92,158063,163118,10506,5814,11383,34292,50281,61348
759,Richelle Mead,2011.0,Bloodlines,"Bloodlines (Bloodlines, #1)",en-US,4.22,140599,146134,7698,3103,4901,21147,45060,71923
774,Marissa Meyer,2014.0,Cress,"Cress (The Lunar Chronicles, #3)",eng,4.46,162069,177466,20055,866,2056,14772,56494,103278
781,Scott Westerfeld,2006.0,Specials,"Specials (Uglies, #3)",eng,3.77,139168,148783,7313,3286,13140,41196,48574,42587
783,"P.C. Cast, Kristin Cast",2009.0,Hunted,"Hunted (House of Night, #5)",eng,3.93,138103,146051,3204,4169,10788,32719,41977,56398
793,E.L. Konigsburg,1967.0,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,eng,4.15,134537,144108,5440,1943,5209,25045,49509,62402
805,"P.C. Cast, Kristin Cast",2010.0,Burned: A House of Night Novel,"Burned (House of Night, #7)",eng,3.98,120763,129493,2999,3628,8971,27361,35719,53814
808,Brian Selznick,2007.0,The Invention of Hugo Cabret,The Invention of Hugo Cabret,eng,4.23,132159,135507,13128,1601,4222,20022,44895,64767
814,"P.C. Cast, Kristin Cast",2008.0,Tempted,"Tempted (House of Night, #6)",eng,3.96,127387,137910,3165,4010,9937,29521,38966,55476
817,Diana Wynne Jones,1986.0,Howl's Moving Castle,"Howl's Moving Castle (Howl's Moving Castle, #1)",eng,4.3,123945,140348,9219,1370,3764,18194,45058,71962
827,Jenny Han,2014.0,To All the Boys I've Loved Before,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",eng,4.11,136938,151311,17356,3388,6744,25033,51196,64950
830,Kody Keplinger,2010.0,The DUFF: Designated Ugly Fat Friend,The DUFF: Designated Ugly Fat Friend,en-US,3.86,136736,146547,11130,5089,10817,33459,47351,49831
831,Sarah Dessen,2008.0,Lock and Key,Lock and Key,eng,4.01,120475,127649,4950,1910,6407,27658,43875,47799
834,Stephenie Meyer,2008.0,Midnight Sun (Partial Draft),"Midnight Sun (Twilight, #1.5)",eng,4.03,138118,138117,9189,6209,9089,23237,35433,64149
837,David Levithan,2012.0,Every Day,"Every Day (Every Day, #1)",eng,3.99,121863,133960,15539,2994,7882,26109,47403,49572
849,Louise Rennison,1999.0,"Angus, Thongs and Full-Frontal Snogging","Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",eng,3.74,112733,118893,3833,4507,10953,31648,35061,36724
853,Jerry Spinelli,1990.0,Maniac Magee,Maniac Magee,eng,3.86,99831,104657,3689,2697,7804,25881,33058,35217
856,Lois Lowry,2000.0,Gathering Blue,"Gathering Blue (The Giver, #2)",eng,3.8,114917,127810,9480,1516,8009,36770,49694,31821
857,Ellen Raskin,1978.0,The Westing Game,The Westing Game,eng,4.03,117108,124343,7814,2682,6710,24165,41664,49122
875,Melissa Marr,2007.0,Wicked Lovely ,"Wicked Lovely (Wicked Lovely, #1)",en-US,3.69,131034,136316,6591,5909,13879,36275,40331,39922
880,Kelley Armstrong,2008.0,The Summoning,"The Summoning (Darkest Powers, #1)",en-US,4.03,132285,136832,5830,3330,7629,27219,42153,56501
884,Ransom Riggs,2014.0,Hollow City,"Hollow City (Miss Peregrine’s Peculiar Children, #2)",eng,4.07,73149,132924,14221,971,4618,25627,54274,47434
909,Rick Riordan,2011.0,The Throne of Fire,"The Throne of Fire (Kane Chronicles, #2)",eng,4.2,116360,123024,4900,869,3653,20425,42668,55409
